probe_cc,test_type,measurement_date,probe_asn,url_category,measurement_outcome,dns_mismatch_score,http_body_length_diff,tcp_connect_ms,resolver_match,header_mismatch
AZ,http_header_field_manipulation,2022-08-28 15:22:56.195239,AS39530,LGBT,ok,0.0759,0.1352,113.05,1,0
CN,web_connectivity,2022-08-28 19:45:21.424284,AS15539,ECON,ok,0.1042,0.1896,103.11,1,0
CN,web_connectivity,2022-08-29 00:07:46.653330,AS36237,LGBT,failure,0.739,1.9413,1532.61,0,1
VN,whatsapp,2022-08-29 04:30:11.882376,AS29338,ANON,confirmed,0.5619,0.8216,45.31,0,0
IR,web_connectivity,2022-08-29 08:52:37.111422,AS7926,COMM,confirmed,0.4928,0.3092,7.78,0,0
RU,web_connectivity,2022-08-29 13:15:02.340468,AS10526,COMM,ok,0.0967,0.8585,12.91,0,0
RU,web_connectivity,2022-08-29 17:37:27.569513,AS49724,LGBT,ok,0.0365,0.2436,57.9,1,1
PK,dns_consistency,2022-08-29 21:59:52.798559,AS2182,NEWS,ok,0.04,0.2372,270.57,1,0
RU,web_connectivity,2022-08-30 02:22:18.027605,AS46987,ANON,anomaly,0.265,1.1182,160.93,0,1
TR,telegram,2022-08-30 06:44:43.256651,AS41085,COMM,confirmed,0.3769,0.1319,99.12,0,1
IR,http_header_field_manipulation,2022-08-30 11:07:08.485697,AS4899,LGBT,confirmed,0.8153,0.3514,158.17,0,1
PK,web_connectivity,2022-08-30 15:29:33.714742,AS58945,COMM,ok,0.0332,1.9144,35.25,1,0
US,web_connectivity,2022-08-30 19:51:58.943788,AS53867,COMT,confirmed,0.203,0.1807,40.2,0,1
CN,dns_consistency,2022-08-31 00:14:24.172834,AS58653,HUMR,ok,0.2971,2.1999,191.05,1,0
PK,web_connectivity,2022-08-31 04:36:49.401880,AS46987,HUMR,anomaly,0.3586,0.5267,5.0,0,1
PK,telegram,2022-08-31 08:59:14.630926,AS39530,ANON,ok,0.0377,0.7922,49.44,1,1
US,web_connectivity,2022-08-31 13:21:39.859971,AS9939,POLR,ok,0.0257,0.8209,352.96,1,0
CN,http_header_field_manipulation,2022-08-31 17:44:05.089017,AS6146,LGBT,anomaly,0.6295,0.6947,130.16,1,1
BR,tcp_connect,2022-08-31 22:06:30.318063,AS6970,NEWS,ok,0.0675,1.0621,147.22,1,0
TH,whatsapp,2022-09-01 02:28:55.547109,AS55874,LGBT,ok,0.0244,0.7979,,1,0
RU,web_connectivity,2022-09-01 06:51:20.776155,AS15631,LGBT,confirmed,0.8733,1.133,5.0,1,1
CN,dns_consistency,2022-09-01 11:13:46.005201,AS47656,LGBT,ok,0.0249,0.8685,140.76,1,0
TR,web_connectivity,2022-09-01 15:36:11.234246,AS26441,POLR,confirmed,0.7551,1.2657,81.61,1,1
NG,tcp_connect,2022-09-01 19:58:36.463292,AS25294,HUMR,failure,0.8374,1.5694,37.89,0,0
VN,dns_consistency,2022-09-02 00:21:01.692338,AS1588,LGBT,anomaly,0.9649,0.6564,234.8,0,0
CN,web_connectivity,2022-09-02 04:43:26.921384,AS8640,COMT,failure,0.8746,0.0455,157.98,1,1
CN,http_header_field_manipulation,2022-09-02 09:05:52.150430,AS32635,POLR,ok,0.1628,0.461,13.69,1,1
UZ,web_connectivity,2022-09-02 13:28:17.379475,AS59099,SRCH,anomaly,0.2789,0.1798,17.68,1,0
PK,web_connectivity,2022-09-02 17:50:42.608521,AS55374,HUMR,ok,0.1185,0.343,,1,0
TH,dns_consistency,2022-09-02 22:13:07.837567,AS35044,NEWS,ok,0.2267,0.4833,107.86,1,0
BY,web_connectivity,2022-09-03 02:35:33.066613,AS38379,COMM,anomaly,0.1463,0.0429,25.04,0,0
IN,facebook_messenger,2022-09-03 06:57:58.295659,AS15061,SRCH,ok,0.0326,1.9807,68.39,1,0
IR,web_connectivity,2022-09-03 11:20:23.524704,AS33842,ECON,anomaly,0.7319,0.0372,36.65,1,1
NG,dns_consistency,2022-09-03 15:42:48.753750,AS42135,LGBT,ok,0.0017,1.0381,15.58,1,0
TR,facebook_messenger,2022-09-03 20:05:13.982796,AS36237,COMM,failure,0.6429,0.0102,663.9,0,0
IN,web_connectivity,2022-09-04 00:27:39.211842,AS44761,SRCH,ok,0.1234,0.4422,115.43,1,1
IN,web_connectivity,2022-09-04 04:50:04.440888,AS47656,HUMR,ok,0.0637,1.26,82.77,1,0
TH,web_connectivity,2022-09-04 09:12:29.669933,AS50368,LGBT,anomaly,0.4931,1.6964,62.97,0,1
RU,telegram,2022-09-04 13:34:54.898979,AS34008,REL,confirmed,0.6739,0.167,155.8,1,1
CN,tcp_connect,2022-09-04 17:57:20.128025,AS8947,COMT,confirmed,0.6808,0.2268,41.58,0,1
NG,web_connectivity,2022-09-04 22:19:45.357071,AS51947,SRCH,ok,0.0281,0.4191,27.2,1,0
KZ,web_connectivity,2022-09-05 02:42:10.586117,AS48048,NEWS,ok,0.133,1.0133,78.98,1,0
UZ,telegram,2022-09-05 07:04:35.815163,AS58653,COMM,ok,0.0676,1.7027,305.75,1,0
BR,dns_consistency,2022-09-05 11:27:01.044208,AS55874,NEWS,ok,0.1027,1.7725,94.1,1,1
RU,dns_consistency,2022-09-05 15:49:26.273254,AS33842,COMT,anomaly,0.738,1.2101,283.98,1,1
IN,http_header_field_manipulation,2022-09-05 20:11:51.502300,AS2072,POLR,ok,0.0414,1.1201,17.86,1,0
UZ,tcp_connect,2022-09-06 00:34:16.731346,AS35011,REL,ok,0.0125,1.8008,42.21,1,0
US,telegram,2022-09-06 04:56:41.960392,AS13266,ANON,ok,0.0335,0.8612,110.51,1,1
EG,tcp_connect,2022-09-06 09:19:07.189437,AS15631,SRCH,ok,0.1183,0.6476,5.0,1,1
CN,telegram,2022-09-06 13:41:32.418483,AS25884,LGBT,ok,0.1524,2.2847,33.37,0,0
RU,whatsapp,2022-09-06 18:03:57.647529,AS29606,SRCH,confirmed,0.4231,0.2427,7.7,0,1
BR,web_connectivity,2022-09-06 22:26:22.876575,AS15539,REL,ok,0.2238,0.8935,69.8,1,0
BY,web_connectivity,2022-09-07 02:48:48.105621,AS52965,COMM,ok,0.2111,0.7726,278.99,1,0
FR,whatsapp,2022-09-07 07:11:13.334666,AS17131,HUMR,ok,0.2137,0.5311,5.0,1,0
BY,web_connectivity,2022-09-07 11:33:38.563712,AS13761,SRCH,ok,0.2483,1.0205,8.2,1,0
BR,tcp_connect,2022-09-07 15:56:03.792758,AS2592,REL,ok,0.0191,0.9577,160.61,1,0
NG,whatsapp,2022-09-07 20:18:29.021804,AS55374,COMT,ok,0.0483,0.5517,26.4,1,0
BY,web_connectivity,2022-09-08 00:40:54.250850,AS22453,NEWS,ok,0.0701,0.1296,284.85,1,0
RU,web_connectivity,2022-09-08 05:03:19.479895,AS41369,ANON,anomaly,0.6121,0.8998,67.15,0,1
ID,web_connectivity,2022-09-08 09:25:44.708941,AS8947,SRCH,ok,0.2796,0.1427,5.0,1,0
US,web_connectivity,2022-09-08 13:48:09.937987,AS22895,REL,ok,0.0735,2.3815,5.0,1,0
ID,tcp_connect,2022-09-08 18:10:35.167033,AS53867,LGBT,ok,0.0313,0.2547,99.99,1,0
PK,web_connectivity,2022-09-08 22:33:00.396079,AS41628,NEWS,ok,0.2844,1.1116,51.97,1,0
IR,facebook_messenger,2022-09-09 02:55:25.625125,AS23883,SRCH,anomaly,0.8582,0.7511,93.3,0,1
IR,web_connectivity,2022-09-09 07:17:50.854170,AS4263,REL,anomaly,0.8285,0.7026,56.36,1,0
TR,tcp_connect,2022-09-09 11:40:16.083216,AS19698,SRCH,ok,0.2392,0.4668,96.48,1,0
CN,web_connectivity,2022-09-09 16:02:41.312262,AS40389,COMM,confirmed,0.8166,0.1587,267.35,1,0
DE,dns_consistency,2022-09-09 20:25:06.541308,AS13266,ECON,ok,0.013,2.174,148.96,1,0
NG,web_connectivity,2022-09-10 00:47:31.770354,AS35011,LGBT,ok,0.0746,1.2983,102.91,1,0
DE,web_connectivity,2022-09-10 05:09:56.999399,AS6970,HUMR,ok,0.0704,0.2205,62.42,1,1
RU,http_header_field_manipulation,2022-09-10 09:32:22.228445,AS38379,POLR,anomaly,0.6489,0.5192,488.19,0,1
FR,facebook_messenger,2022-09-10 13:54:47.457491,AS15631,NEWS,ok,0.0729,0.1062,334.76,1,0
IN,web_connectivity,2022-09-10 18:17:12.686537,AS15631,HUMR,ok,0.0577,0.261,5.0,1,1
AZ,web_connectivity,2022-09-10 22:39:37.915583,AS11241,COMM,ok,0.0564,0.2742,100.73,1,0
RU,http_header_field_manipulation,2022-09-11 03:02:03.144628,AS1588,REL,ok,0.0055,0.4536,48.48,0,0
MM,whatsapp,2022-09-11 07:24:28.373674,AS55374,REL,anomaly,,0.1863,19.9,0,1
IR,web_connectivity,2022-09-11 11:46:53.602720,AS58653,REL,anomaly,0.6001,0.3059,353.08,0,1
VN,web_connectivity,2022-09-11 16:09:18.831766,AS8947,NEWS,ok,0.0224,0.5057,7.38,1,0
VN,web_connectivity,2022-09-11 20:31:44.060812,AS25294,COMM,ok,0.1003,0.7701,,1,0
KZ,web_connectivity,2022-09-12 00:54:09.289857,AS58842,COMM,ok,0.0059,0.3691,88.26,1,0
TR,web_connectivity,2022-09-12 05:16:34.518903,AS15539,REL,ok,0.226,1.6824,69.44,1,0
IR,web_connectivity,2022-09-12 09:38:59.747949,AS20553,REL,anomaly,0.8417,0.3057,5.0,0,1
AZ,web_connectivity,2022-09-12 14:01:24.976995,AS50368,NEWS,ok,0.1522,0.2578,372.89,1,0
TR,dns_consistency,2022-09-12 18:23:50.206041,AS26441,ECON,anomaly,0.205,0.9738,5.0,0,1
CN,web_connectivity,2022-09-12 22:46:15.435087,AS42135,ANON,ok,0.0434,1.3289,104.79,1,0
DE,dns_consistency,2022-09-13 03:08:40.664132,AS52615,HUMR,ok,0.2789,0.4284,76.06,1,0
IR,web_connectivity,2022-09-13 07:31:05.893178,AS17131,SRCH,confirmed,0.5821,0.2636,15.61,0,1
TR,web_connectivity,2022-09-13 11:53:31.122224,AS59099,HUMR,failure,0.7208,1.3755,71.28,0,0
IN,web_connectivity,2022-09-13 16:15:56.351270,AS49724,SRCH,anomaly,0.2876,0.6081,,0,1
CN,web_connectivity,2022-09-13 20:38:21.580316,AS57909,COMM,failure,0.3699,0.1625,486.6,0,0
DE,tcp_connect,2022-09-14 01:00:46.809361,AS53867,SRCH,ok,0.1513,1.4239,5.0,1,0
IN,web_connectivity,2022-09-14 05:23:12.038407,AS2175,NEWS,ok,0.104,0.481,191.88,1,0
PK,tcp_connect,2022-09-14 09:45:37.267453,AS26441,LGBT,ok,0.0692,0.7125,28.94,1,0
UZ,dns_consistency,2022-09-14 14:08:02.496499,AS41085,POLR,ok,0.1354,0.1829,102.09,1,0
IR,dns_consistency,2022-09-14 18:30:27.725545,AS42135,ANON,anomaly,0.3976,0.6161,15.81,0,1
BY,http_header_field_manipulation,2022-09-14 22:52:52.954590,AS41369,COMM,ok,0.0061,1.4585,62.45,1,1
TH,web_connectivity,2022-09-15 03:15:18.183636,AS46987,POLR,confirmed,0.9412,0.0892,114.29,0,1
VN,web_connectivity,2022-09-15 07:37:43.412682,AS55374,NEWS,failure,0.8035,0.351,280.78,0,1
FR,web_connectivity,2022-09-15 12:00:08.641728,AS57909,REL,ok,0.0214,2.7856,243.56,1,0
TR,web_connectivity,2022-09-15 16:22:33.870774,AS55374,SRCH,ok,,0.6694,33.47,1,0
BY,web_connectivity,2022-09-15 20:44:59.099819,AS2175,SRCH,ok,0.0691,0.1621,70.38,1,0
VN,http_header_field_manipulation,2022-09-16 01:07:24.328865,AS22453,LGBT,ok,0.1805,1.0174,12.3,1,0
TR,web_connectivity,2022-09-16 05:29:49.557911,AS41628,NEWS,ok,0.0837,0.3979,248.81,1,0
EG,facebook_messenger,2022-09-16 09:52:14.786957,AS2072,REL,confirmed,0.8369,0.0261,44.93,0,1
US,web_connectivity,2022-09-16 14:14:40.016003,AS50319,ECON,ok,0.0535,1.0473,64.17,1,0
IR,web_connectivity,2022-09-16 18:37:05.245049,AS29338,COMM,ok,0.4743,1.3099,149.26,1,0
IR,telegram,2022-09-16 22:59:30.474094,AS1588,ECON,anomaly,0.8014,0.2694,64.15,1,0
EG,web_connectivity,2022-09-17 03:21:55.703140,AS8947,COMM,anomaly,0.5334,0.2844,64.58,1,0
EG,vanilla_tor,2022-09-17 07:44:20.932186,AS52965,COMM,ok,0.2664,1.196,950.37,1,0
US,web_connectivity,2022-09-17 12:06:46.161232,AS42772,COMM,ok,0.0214,0.7269,62.23,1,0
US,web_connectivity,2022-09-17 16:29:11.390278,AS46987,COMT,confirmed,0.5213,0.0617,25.08,0,0
IR,web_connectivity,2022-09-17 20:51:36.619323,AS15631,COMT,anomaly,0.7745,0.2332,186.61,0,0
IN,web_connectivity,2022-09-18 01:14:01.848369,AS2182,POLR,ok,0.0175,0.8822,5.0,1,0
AZ,dns_consistency,2022-09-18 05:36:27.077415,AS22895,COMT,failure,0.6603,1.2668,370.76,0,1
AZ,web_connectivity,2022-09-18 09:58:52.306461,AS23227,LGBT,ok,0.0731,1.1057,147.71,1,0
VN,web_connectivity,2022-09-18 14:21:17.535507,AS25294,COMM,ok,0.0519,0.8391,295.54,1,0
FR,web_connectivity,2022-09-18 18:43:42.764552,AS57909,ANON,ok,0.0679,1.01,111.17,1,1
KZ,web_connectivity,2022-09-18 23:06:07.993598,AS29606,LGBT,ok,0.0744,1.5427,106.96,1,0
IR,telegram,2022-09-19 03:28:33.222644,AS48048,LGBT,anomaly,0.5137,0.5754,92.57,0,1
IN,web_connectivity,2022-09-19 07:50:58.451690,AS18345,SRCH,ok,0.0445,2.8921,38.25,0,0
IR,tcp_connect,2022-09-19 12:13:23.680736,AS41085,HUMR,anomaly,0.883,0.7301,72.31,1,1
DE,web_connectivity,2022-09-19 16:35:48.909781,AS13266,ANON,ok,0.0058,1.4989,313.21,1,0
PK,web_connectivity,2022-09-19 20:58:14.138827,AS19111,COMT,ok,0.1312,0.6046,212.16,1,0
IR,dns_consistency,2022-09-20 01:20:39.367873,AS25294,HUMR,ok,0.1438,2.1003,43.25,1,0
KZ,whatsapp,2022-09-20 05:43:04.596919,AS48048,ANON,ok,0.0751,1.2705,5.0,1,0
BR,telegram,2022-09-20 10:05:29.825965,AS55874,COMM,ok,0.2043,0.5471,145.97,1,0
PK,dns_consistency,2022-09-20 14:27:55.055011,AS55961,ANON,failure,0.2418,0.294,753.56,0,0
RU,web_connectivity,2022-09-20 18:50:20.284056,AS39530,ECON,confirmed,0.5701,0.039,159.01,0,1
RU,web_connectivity,2022-09-20 23:12:45.513102,AS6146,REL,anomaly,0.4142,0.9927,59.91,1,1
NG,http_header_field_manipulation,2022-09-21 03:35:10.742148,AS28910,REL,ok,0.2036,0.0165,126.28,1,0
BY,web_connectivity,2022-09-21 07:57:35.971194,AS20634,COMT,ok,0.0641,0.9278,113.89,1,1
AZ,whatsapp,2022-09-21 12:20:01.200240,AS2182,REL,anomaly,0.5375,0.1739,5.0,1,1
VN,http_header_field_manipulation,2022-09-21 16:42:26.429285,AS22453,HUMR,anomaly,0.7152,0.8012,168.27,1,0
CN,whatsapp,2022-09-21 21:04:51.658331,AS28910,POLR,ok,0.0172,0.3467,137.22,1,1
CN,dns_consistency,2022-09-22 01:27:16.887377,AS2592,LGBT,anomaly,0.3057,0.194,61.26,0,0
KZ,tcp_connect,2022-09-22 05:49:42.116423,AS41085,ANON,ok,0.0491,0.2979,16.41,0,0
IR,web_connectivity,2022-09-22 10:12:07.345469,AS4263,ECON,anomaly,0.6336,0.5099,52.84,0,0
VN,dns_consistency,2022-09-22 14:34:32.574514,AS6146,HUMR,confirmed,0.6802,0.4583,237.84,0,1
US,web_connectivity,2022-09-22 18:56:57.803560,AS11241,ECON,ok,0.0644,1.8738,60.9,1,0
IN,http_header_field_manipulation,2022-09-22 23:19:23.032606,AS33842,LGBT,ok,0.0272,0.8218,498.39,1,0
DE,dns_consistency,2022-09-23 03:41:48.261652,AS36237,LGBT,ok,0.2021,1.3933,170.8,1,0
TH,tcp_connect,2022-09-23 08:04:13.490698,AS15061,ANON,failure,0.5231,0.2595,1634.7,0,1
AZ,tcp_connect,2022-09-23 12:26:38.719743,AS2175,SRCH,ok,0.2317,0.3788,85.45,1,0
AZ,http_header_field_manipulation,2022-09-23 16:49:03.948789,AS42772,NEWS,ok,0.0347,0.6997,50.75,1,0
IN,web_connectivity,2022-09-23 21:11:29.177835,AS17131,SRCH,ok,0.1295,0.3343,73.13,1,0
IR,telegram,2022-09-24 01:33:54.406881,AS23227,REL,confirmed,0.7226,0.9474,96.12,0,1
FR,web_connectivity,2022-09-24 05:56:19.635927,AS29606,POLR,ok,0.0524,1.6628,199.08,1,0
IR,tcp_connect,2022-09-24 10:18:44.864972,AS28647,HUMR,anomaly,0.3597,1.6179,131.73,1,1
US,dns_consistency,2022-09-24 14:41:10.094018,AS25983,COMT,ok,,1.2343,6.18,1,0
CN,tcp_connect,2022-09-24 19:03:35.323064,AS39530,HUMR,confirmed,0.6565,0.1771,15.85,0,0
US,dns_consistency,2022-09-24 23:26:00.552110,AS59099,COMT,ok,0.148,1.0246,95.67,1,0
TR,http_header_field_manipulation,2022-09-25 03:48:25.781156,AS4099,ECON,ok,0.1107,0.5256,11.24,1,0
KZ,web_connectivity,2022-09-25 08:10:51.010202,AS13266,LGBT,ok,0.0112,0.7292,45.47,1,0
ID,tcp_connect,2022-09-25 12:33:16.239247,AS28910,REL,ok,0.0877,0.4289,28.75,1,0
IN,web_connectivity,2022-09-25 16:55:41.468293,AS8640,LGBT,ok,0.008,0.3145,241.76,1,0
RU,http_header_field_manipulation,2022-09-25 21:18:06.697339,AS41628,NEWS,ok,0.0517,1.3409,129.63,1,0
VN,web_connectivity,2022-09-26 01:40:31.926385,AS58945,COMT,ok,0.1758,1.3424,11.16,1,0
IN,tcp_connect,2022-09-26 06:02:57.155431,AS17131,NEWS,ok,0.2554,1.3922,85.64,1,0
FR,web_connectivity,2022-09-26 10:25:22.384476,AS53867,ANON,ok,0.0292,0.2539,178.97,1,0
RU,web_connectivity,2022-09-26 14:47:47.613522,AS8947,COMM,ok,0.1088,1.2436,9.75,1,0
IR,tcp_connect,2022-09-26 19:10:12.842568,AS28647,POLR,failure,0.4498,3.1906,485.45,0,0
VN,tcp_connect,2022-09-26 23:32:38.071614,AS4263,SRCH,ok,0.2293,0.2487,132.33,1,0
PK,http_header_field_manipulation,2022-09-27 03:55:03.300660,AS58945,NEWS,ok,0.0511,1.8441,36.16,1,0
DE,telegram,2022-09-27 08:17:28.529705,AS49724,SRCH,ok,0.0746,1.2053,308.93,0,0
CN,web_connectivity,2022-09-27 12:39:53.758751,AS58653,ANON,failure,0.6873,1.8588,260.8,0,1
TR,web_connectivity,2022-09-27 17:02:18.987797,AS50319,HUMR,anomaly,0.9622,1.0206,130.35,0,1
TR,web_connectivity,2022-09-27 21:24:44.216843,AS25294,LGBT,anomaly,0.4727,0.5648,47.87,0,1
CN,web_connectivity,2022-09-28 01:47:09.445889,AS57909,COMM,ok,0.0251,2.5415,178.88,1,0
AZ,web_connectivity,2022-09-28 06:09:34.674934,AS13761,SRCH,ok,0.0341,1.186,127.68,1,0
RU,http_header_field_manipulation,2022-09-28 10:31:59.903980,AS1588,ECON,ok,0.1786,0.6113,301.55,1,0
IN,web_connectivity,2022-09-28 14:54:25.133026,AS55961,SRCH,confirmed,0.7654,0.0246,82.14,0,1
PK,web_connectivity,2022-09-28 19:16:50.362072,AS19111,REL,ok,0.4071,0.0096,77.36,1,0
RU,dns_consistency,2022-09-28 23:39:15.591118,AS15061,HUMR,anomaly,0.5635,0.1421,103.33,0,0
AZ,web_connectivity,2022-09-29 04:01:40.820164,AS45204,NEWS,ok,0.0187,0.7261,142.92,1,0
EG,web_connectivity,2022-09-29 08:24:06.049209,AS13761,HUMR,ok,0.0093,0.6833,153.18,1,0
RU,web_connectivity,2022-09-29 12:46:31.278255,AS50368,POLR,anomaly,0.4259,0.4265,36.84,1,0
KZ,facebook_messenger,2022-09-29 17:08:56.507301,AS17131,REL,ok,0.0563,0.4875,118.2,1,0
DE,web_connectivity,2022-09-29 21:31:21.736347,AS54883,ECON,ok,0.3645,0.1323,,1,0
VN,whatsapp,2022-09-30 01:53:46.965393,AS33842,REL,ok,0.0131,0.6537,74.14,1,1
KZ,dns_consistency,2022-09-30 06:16:12.194438,AS8947,ANON,ok,0.0126,1.1968,105.77,1,0
KZ,web_connectivity,2022-09-30 10:38:37.423484,AS20553,COMM,anomaly,0.4109,0.358,53.32,0,1
IN,web_connectivity,2022-09-30 15:01:02.652530,AS49724,POLR,ok,0.1733,1.3658,5.0,1,0
CN,http_header_field_manipulation,2022-09-30 19:23:27.881576,AS20634,ECON,ok,0.2052,0.521,5.0,1,0
CN,facebook_messenger,2022-09-30 23:45:53.110622,AS4263,HUMR,confirmed,0.4925,0.4593,85.36,0,1
PK,web_connectivity,2022-10-01 04:08:18.339667,AS2175,SRCH,ok,,0.8071,69.22,1,0
UZ,web_connectivity,2022-10-01 08:30:43.568713,AS32671,SRCH,ok,0.0399,0.3826,27.0,1,0
RU,web_connectivity,2022-10-01 12:53:08.797759,AS57909,ANON,ok,0.0383,0.9395,148.44,1,1
RU,web_connectivity,2022-10-01 17:15:34.026805,AS19698,NEWS,anomaly,0.187,0.9371,119.52,0,0
BY,tcp_connect,2022-10-01 21:37:59.255851,AS22453,ECON,ok,0.0046,2.1559,272.54,1,0
IN,dns_consistency,2022-10-02 02:00:24.484896,AS4263,HUMR,ok,0.354,1.6328,215.23,1,0
CN,web_connectivity,2022-10-02 06:22:49.713942,AS26441,COMM,failure,0.8795,0.617,539.32,0,1
IR,telegram,2022-10-02 10:45:14.942988,AS23883,ECON,confirmed,0.4043,0.1195,168.55,0,0
TR,web_connectivity,2022-10-02 15:07:40.172034,AS49724,HUMR,anomaly,0.7232,0.4868,260.47,1,1
FR,http_header_field_manipulation,2022-10-02 19:30:05.401080,AS2592,ANON,ok,0.6141,0.3311,,1,0
FR,http_header_field_manipulation,2022-10-02 23:52:30.630126,AS22453,ECON,ok,0.0137,0.7118,55.13,1,0
TR,web_connectivity,2022-10-03 04:14:55.859171,AS20553,LGBT,ok,0.0554,0.3676,113.8,1,0
ID,web_connectivity,2022-10-03 08:37:21.088217,AS55961,ECON,confirmed,0.8538,0.1836,214.23,0,0
TR,web_connectivity,2022-10-03 12:59:46.317263,AS17131,NEWS,anomaly,0.1057,1.6025,21.76,0,1
AZ,facebook_messenger,2022-10-03 17:22:11.546309,AS57909,ANON,ok,0.0436,0.0363,191.89,1,0
CN,tcp_connect,2022-10-03 21:44:36.775355,AS40389,NEWS,anomaly,,0.1862,10.95,0,1
BY,web_connectivity,2022-10-04 02:07:02.004400,AS41085,POLR,ok,0.0603,1.0792,5.0,1,0
TR,http_header_field_manipulation,2022-10-04 06:29:27.233446,AS42772,REL,ok,0.0376,0.9702,168.03,1,0
CN,http_header_field_manipulation,2022-10-04 10:51:52.462492,AS58842,COMM,ok,0.1278,0.2493,137.58,1,0
TH,web_connectivity,2022-10-04 15:14:17.691538,AS53867,HUMR,ok,0.0494,0.2679,269.79,1,0
CN,web_connectivity,2022-10-04 19:36:42.920584,AS57909,ANON,anomaly,0.9485,0.9807,162.2,0,0
FR,http_header_field_manipulation,2022-10-04 23:59:08.149629,AS41085,LGBT,ok,0.1934,0.4074,52.82,1,1
IR,web_connectivity,2022-10-05 04:21:33.378675,AS29338,COMM,confirmed,0.6728,0.0116,281.2,1,1
RU,whatsapp,2022-10-05 08:43:58.607721,AS10526,LGBT,ok,0.1297,0.9829,269.36,1,0
AZ,http_header_field_manipulation,2022-10-05 13:06:23.836767,AS10526,REL,ok,0.0151,1.5754,333.59,1,0
BR,web_connectivity,2022-10-05 17:28:49.065813,AS50319,POLR,ok,0.1112,0.0995,148.5,1,0
IN,whatsapp,2022-10-05 21:51:14.294858,AS13761,SRCH,ok,0.1517,1.8442,234.5,1,0
RU,web_connectivity,2022-10-06 02:13:39.523904,AS41369,ANON,anomaly,0.5469,1.5204,14.51,0,0
BR,whatsapp,2022-10-06 06:36:04.752950,AS49724,ECON,ok,0.0104,2.1654,146.21,1,0
IN,web_connectivity,2022-10-06 10:58:29.981996,AS25884,COMT,ok,0.1258,0.0866,35.23,1,1
DE,http_header_field_manipulation,2022-10-06 15:20:55.211042,AS36237,NEWS,ok,0.4478,1.9135,55.7,1,0
NG,tcp_connect,2022-10-06 19:43:20.440088,AS55374,ECON,ok,0.13,0.6685,224.09,1,0
NG,web_connectivity,2022-10-07 00:05:45.669133,AS22453,HUMR,confirmed,0.518,0.3843,171.94,0,1
ID,web_connectivity,2022-10-07 04:28:10.898179,AS18345,COMM,ok,0.1165,0.1611,325.09,0,0
VN,dns_consistency,2022-10-07 08:50:36.127225,AS59099,NEWS,ok,0.1817,1.4812,179.27,1,1
TR,dns_consistency,2022-10-07 13:13:01.356271,AS4263,ANON,ok,0.1712,0.1397,46.75,1,1
TR,web_connectivity,2022-10-07 17:35:26.585317,AS54883,COMT,ok,0.1151,1.6591,248.68,1,0
DE,vanilla_tor,2022-10-07 21:57:51.814362,AS58945,ECON,ok,0.1938,0.7217,11.67,1,0
CN,tcp_connect,2022-10-08 02:20:17.043408,AS25581,ANON,ok,0.0456,0.0584,37.34,1,0
IN,web_connectivity,2022-10-08 06:42:42.272454,AS23227,ANON,anomaly,0.9938,1.5236,7.48,1,1
BY,http_header_field_manipulation,2022-10-08 11:05:07.501500,AS19111,REL,ok,0.1302,0.9542,220.15,1,0
AZ,web_connectivity,2022-10-08 15:27:32.730546,AS25983,ANON,ok,0.1309,0.0689,317.97,1,0
NG,whatsapp,2022-10-08 19:49:57.959591,AS33842,NEWS,ok,0.215,0.2637,102.49,1,0
BR,web_connectivity,2022-10-09 00:12:23.188637,AS48048,POLR,ok,0.1597,0.3312,314.86,1,0
IN,web_connectivity,2022-10-09 04:34:48.417683,AS2182,ANON,ok,0.1082,0.7263,,1,0
NG,web_connectivity,2022-10-09 08:57:13.646729,AS39530,COMT,ok,0.0764,1.0872,321.91,1,0
MM,vanilla_tor,2022-10-09 13:19:38.875775,AS10526,ECON,ok,0.1878,0.3073,57.13,1,0
EG,web_connectivity,2022-10-09 17:42:04.104820,AS41085,HUMR,ok,0.0341,1.4486,438.55,1,0
RU,web_connectivity,2022-10-09 22:04:29.333866,AS19111,LGBT,ok,0.1583,1.0096,12.01,0,0
EG,dns_consistency,2022-10-10 02:26:54.562912,AS20634,LGBT,ok,0.0468,0.3664,26.22,1,0
EG,web_connectivity,2022-10-10 06:49:19.791958,AS22895,POLR,confirmed,0.621,0.2356,41.69,0,1
RU,web_connectivity,2022-10-10 11:11:45.021004,AS23883,SRCH,ok,0.1328,0.3835,19.97,1,0
IR,http_header_field_manipulation,2022-10-10 15:34:10.250050,AS8640,ECON,failure,0.4875,1.8464,686.53,0,1
MM,web_connectivity,2022-10-10 19:56:35.479095,AS39530,HUMR,ok,0.2042,0.9996,108.8,1,0
BR,dns_consistency,2022-10-11 00:19:00.708141,AS57909,POLR,ok,0.026,0.1295,153.18,1,0
BY,web_connectivity,2022-10-11 04:41:25.937187,AS2182,HUMR,ok,0.1426,0.3203,69.66,1,0
IR,dns_consistency,2022-10-11 09:03:51.166233,AS2592,ECON,confirmed,0.7064,0.5629,276.81,1,1
RU,web_connectivity,2022-10-11 13:26:16.395279,AS50319,COMT,ok,0.0015,0.9383,197.07,1,1
IR,dns_consistency,2022-10-11 17:48:41.624324,AS1588,HUMR,confirmed,0.9453,0.1937,164.16,1,1
DE,web_connectivity,2022-10-11 22:11:06.853370,AS23227,ANON,ok,0.1428,0.6616,462.44,1,0
